고유번호,구명,정원수,위도,경도
478,전주시 덕진구,20,35.83772385,127.1537674
479,전주시 덕진구,19,35.86931383,127.1244985
480,전주시 덕진구,19,35.86434943,127.1475255
481,전주시 덕진구,19,35.86790491,127.0771191
482,전주시 덕진구,20,35.85887962,127.1530135
483,전주시 덕진구,20,35.86053852,127.1133768
484,전주시 덕진구,20,35.84769394,127.1498872
485,전주시 덕진구,20,35.86635257,127.117808
486,전주시 덕진구,20,35.64380475,127.5052235
487,전주시 덕진구,19,35.86705277,127.0786489
488,전주시 덕진구,19,35.83772388,127.1511819
489,전주시 덕진구,13,35.82450963,127.1687272
490,전주시 덕진구,19,35.86931383,127.1244985
491,전주시 덕진구,19,35.8682208,127.1283436
492,전주시 덕진구,20,35.86515489,127.1353493
493,전주시 덕진구,11,35.82660395,127.1702745
494,전주시 덕진구,19,35.8682208,127.1283436
495,전주시 덕진구,20,35.85876844,127.1224823
496,전주시 덕진구,19,35.83068716,127.169083
497,전주시 덕진구,20,35.83051122,127.1356868
498,전주시 덕진구,11,35.84746673,127.104815
499,전주시 덕진구,20,35.83772385,127.1537674
500,전주시 덕진구,20,35.86591628,127.1177993
501,전주시 덕진구,11,35.83528993,127.162982
502,전주시 덕진구,19,35.82560666,127.1668431
503,전주시 덕진구,17,35.85725253,127.1550982
504,전주시 덕진구,19,35.86705277,127.0786489
505,전주시 덕진구,13,35.82858746,127.164768
506,전주시 덕진구,19,35.86434943,127.1475255
507,전주시 덕진구,19,35.8297226,127.1689167
508,전주시 덕진구,19,35.86251929,127.1288431
509,전주시 덕진구,20,35.83994842,127.1548923
510,전주시 덕진구,20,35.86082455,127.1133982
511,전주시 덕진구,20,35.99013308,127.0999731
512,전주시 덕진구,19,35.86127244,127.1277148
513,전주시 덕진구,20,35.83994842,127.1548923
514,전주시 덕진구,19,35.86251929,127.1288431
515,전주시 덕진구,13,35.82673115,127.1686571
516,전주시 덕진구,13,35.87647306,127.0777726
517,전주시 덕진구,19,35.64380475,127.5052235
518,전주시 덕진구,19,35.84063236,127.1650645
519,전주시 덕진구,20,35.83994842,127.1548923
520,전주시 덕진구,20,35.86434943,127.1475255
521,전주시 덕진구,13,35.82673115,127.1686571
522,전주시 덕진구,20,35.82971516,127.1357465
523,전주시 덕진구,13,35.86931383,127.1244985
524,전주시 덕진구,13,35.8682208,127.1283436
525,전주시 덕진구,19,35.83271067,127.1653216
526,전주시 덕진구,13,35.86677258,127.1126999
527,전주시 덕진구,20,35.83994842,127.1548923
528,전주시 덕진구,13,35.85803894,127.1500749
529,전주시 덕진구,20,35.83271067,127.1653216
530,전주시 덕진구,19,35.8682208,127.1283436
531,전주시 덕진구,11,35.83528993,127.162982
532,전주시 덕진구,20,35.86705277,127.0786489
533,전주시 덕진구,20,35.86629341,127.1456216
534,전주시 덕진구,17,35.83505235,127.1524142
535,전주시 덕진구,19,35.86705277,127.0786489
536,전주시 덕진구,20,35.8682208,127.1283436
537,전주시 덕진구,19,35.8297226,127.1689167
538,전주시 덕진구,20,35.82971516,127.1357465
539,전주시 덕진구,20,35.86477149,127.1317063
540,전주시 덕진구,20,35.86477149,127.1317063
541,전주시 덕진구,13,35.86931383,127.1244985
542,전주시 덕진구,20,35.86477149,127.1317063
543,전주시 덕진구,19,35.86931383,127.1244985
544,전주시 덕진구,19,35.83271067,127.1653216
545,전주시 덕진구,19,35.84864087,127.1058686
546,전주시 덕진구,19,35.85942009,127.1521699
547,전주시 덕진구,20,35.83772385,127.1537674
548,전주시 덕진구,11,35.83501909,127.1622632
549,전주시 덕진구,19,35.85695737,127.1183379
550,전주시 덕진구,19,35.83772385,127.1537674
551,전주시 덕진구,11,35.83501909,127.1622632
552,전주시 덕진구,13,35.85803894,127.1500749
553,전주시 덕진구,19,35.82591277,127.1337999
554,전주시 덕진구,20,35.86629341,127.1456216
555,전주시 덕진구,20,35.83970993,127.1623443
556,전주시 덕진구,16,35.84282614,127.1068885
557,전주시 덕진구,20,35.84461634,127.1499493
558,전주시 덕진구,16,35.84341929,127.163764
559,전주시 덕진구,19,35.83895266,127.1133424
560,전주시 덕진구,18,35.84094399,127.1117026
561,전주시 덕진구,17,35.84094399,127.1117026
562,전주시 덕진구,18,35.84094399,127.1117026
563,전주시 덕진구,19,35.83895266,127.1133424
564,전주시 덕진구,19,35.85254076,127.1162247
565,전주시 덕진구,19,35.84282614,127.1068885
566,전주시 덕진구,20,35.84629754,127.1083656
567,전주시 덕진구,20,35.84431959,127.1079238
568,전주시 덕진구,20,35.86066656,127.1294501
