,학교명,주소,위도,경도
324,,전라북도 전주시 덕진구 안덕원로 325,35.83970993,127.1623443
325,,전라북도 전주시 덕진구 덕진동2가 경동로 20,35.84282614,127.1068885
326,,전라북도 전주시 덕진구 명주5길 14-12,35.84461634,127.1499493
327,,전라북도 전주시 덕진구 안덕원3길 10,35.84341929,127.163764
328,,전라북도 전주시 덕진구 가리내로 216,35.83895266,127.1133424
329,,전라북도 전주시 덕진구 가련산로 24,35.84094399,127.1117026
330,,전라북도 전주시 덕진구 가련산로 24,35.84094399,127.1117026
331,,전라북도 전주시 덕진구 가련산로 24,35.84094399,127.1117026
332,,전라북도 전주시 덕진구 가리내로 216,35.83895266,127.1133424
333,,전라북도 전주시 덕진구 호반8길 15,35.85254076,127.1162247
334,,전라북도 전주시 덕진구 덕진동2가 경동로 20,35.84282614,127.1068885
335,,전라북도 전주시 덕진구 추탄로 61,35.84629754,127.1083656
336,,전라북도 전주시 덕진구 덕진동2가 경동로 19,35.84431959,127.1079238
337,,전라북도 전주시 덕진구 송천동1가 오송로 45,35.86066656,127.1294501
338,,전라북도 전주시 덕진구 호성동1가 소리로 179,35.85803894,127.1500749
339,,전라북도 전주시 덕진구 틀못4길 17,35.84396945,127.0573225
340,,전라북도 전주시 덕진구 틀못4길 17,35.84396945,127.0573225
341,,전라북도 전주시 덕진구 틀못4길 33,35.84571307,127.0589108
342,,전라북도 전주시 덕진구 송천동2가 와룡로 40,35.86283025,127.1128683
343,,전라북도 전주시 덕진구 송천동2가 세병로 85,35.87207631,127.1322083
344,,전라북도 전주시 덕진구 송천동2가 세병로 175,35.87801123,127.1331095
345,,전라북도 전주시 덕진구 만성동로 16,35.83851127,127.0746896
346,,전라북도 전주시 덕진구 만성로 181,35.84818484,127.0797107
347,,전라북도 전주시 덕진구 인후동1가 동가재미2길 28-3,35.83342668,127.1640356
348,,전라북도 전주시 덕진구 팔과정로 150,35.85985689,127.0945292
349,,전라북도 전주시 덕진구 기지로 180,35.837298,127.0721794
350,,전라북도 전주시 덕진구 우아동3가 도당산1길 21-1,35.84544302,127.1539024
351,,전라북도 전주시 덕진구 건지로 20,35.8479659,127.1410598
352,,전라북도 전주시 덕진구 백제대로 567,35.8411407,127.1315899
